baseline,snr_metric,snr_col,n,spearman_rho,spearman_p,pearson_r,pearson_p
eegnet,Max Broadband SNR (ERP),max_broadband_snr,41,0.6484320557491291,4.552396195608158e-06,0.39473846297170023,0.01064779898009527
eegnet,Max Tonotopic Tuning,max_tuning_metric,41,0.6651567944250872,2.0940731049144193e-06,0.34378627608043266,0.02775048391758518
eegnet,Mean Power Ratio SNR,mean_broadband_power_snr,41,0.19442508710801398,0.22318870979495367,0.14248799725247563,0.37416452946284745
eegnet,Mean Low-Freq Power SNR,mean_lowfreq_power_snr,41,0.1810104529616725,0.2573926486098208,0.1194837217232374,0.4568275663825396
eegnet,Mean Induced Power SNR,mean_broadband_induced_snr,41,-0.14756097560975612,0.35721476309048683,-0.017301898794348226,0.9144970106395394
eegnet,Max Habituation Index,max_habituation_index,41,0.2463414634146342,0.1205162186951569,0.07366671640202109,0.6471445956968165
gru,Max Broadband SNR (ERP),max_broadband_snr,41,0.5923344947735192,4.506214750378227e-05,0.36671439353493773,0.018357922703608708
gru,Max Tonotopic Tuning,max_tuning_metric,41,0.6235191637630664,1.3314487095542774e-05,0.38980118879819664,0.01175905045683244
gru,Mean Power Ratio SNR,mean_broadband_power_snr,41,-0.0402439024390244,0.8027274886744283,0.09298338846126541,0.5631110268756665
gru,Mean Low-Freq Power SNR,mean_lowfreq_power_snr,41,-0.03693379790940768,0.8186697699778198,0.07242827270345152,0.6526982400994452
gru,Mean Induced Power SNR,mean_broadband_induced_snr,41,-0.2965156794425088,0.059769166026507274,-0.05712611391891919,0.7227667815051345
gru,Max Habituation Index,max_habituation_index,41,0.3297909407665506,0.035230599192625785,0.17205200259490577,0.282085120577245
linear,Max Broadband SNR (ERP),max_broadband_snr,41,0.5423344947735192,0.00024942353038316276,0.4446755271051374,0.003580911781009138
linear,Max Tonotopic Tuning,max_tuning_metric,41,0.5168989547038328,0.0005397143170554401,0.3267507330966566,0.03705663766769698
linear,Mean Power Ratio SNR,mean_broadband_power_snr,41,0.12526132404181187,0.4351904360527706,0.09405412893233617,0.5586049769342208
linear,Mean Low-Freq Power SNR,mean_lowfreq_power_snr,41,0.10836236933797913,0.5000633870265401,0.06252028003928299,0.6977753819992315
linear,Mean Induced Power SNR,mean_broadband_induced_snr,41,-0.20278745644599308,0.20352319329031207,-0.0893738311391903,0.5784241073427929
linear,Max Habituation Index,max_habituation_index,41,-0.01167247386759582,0.9422586597780339,-0.15195121912161244,0.34292793500525937
mlp,Max Broadband SNR (ERP),max_broadband_snr,41,0.5123693379790942,0.0006153873075889413,0.5795411471771095,7.170373765901874e-05
mlp,Max Tonotopic Tuning,max_tuning_metric,41,0.4569686411149827,0.0026690897914345307,0.5499489249901488,0.00019556799421381832
mlp,Mean Power Ratio SNR,mean_broadband_power_snr,41,0.2658536585365854,0.09295046743912479,0.3639252286633579,0.01933356808210143
mlp,Mean Low-Freq Power SNR,mean_lowfreq_power_snr,41,0.24651567944250877,0.12024555779126532,0.32845751177959925,0.036022197950549555
mlp,Mean Induced Power SNR,mean_broadband_induced_snr,41,0.04965156794425087,0.7578666874542761,0.19524825182257755,0.22119694768663445
mlp,Max Habituation Index,max_habituation_index,41,0.0036585365853658547,0.9818882553143011,-0.061776692587655495,0.7012024904582738
shallowcnn,Max Broadband SNR (ERP),max_broadband_snr,41,0.625261324041812,1.2389252491833581e-05,0.41847512131011655,0.00647127847915586
shallowcnn,Max Tonotopic Tuning,max_tuning_metric,41,0.557665505226481,0.00015192043634241115,0.3495669964620887,0.02507125476226222
shallowcnn,Mean Power Ratio SNR,mean_broadband_power_snr,41,0.12682926829268293,0.4294181593488807,0.12869722312522192,0.4225975681623928
shallowcnn,Mean Low-Freq Power SNR,mean_lowfreq_power_snr,41,0.11933797909407667,0.45738077368202773,0.10390494673784596,0.5179590586902847
shallowcnn,Mean Induced Power SNR,mean_broadband_induced_snr,41,-0.15365853658536588,0.3374681084087649,-0.02535289455303438,0.8749748899149723
shallowcnn,Max Habituation Index,max_habituation_index,41,0.15383275261324048,0.3369140185813428,-0.006095138964304175,0.9698301705373225
temporalcnn,Max Broadband SNR (ERP),max_broadband_snr,41,0.2750871080139373,0.08173546227210317,0.26989577147921034,0.08790316192069932
temporalcnn,Max Tonotopic Tuning,max_tuning_metric,41,0.2919860627177701,0.06396828471383785,0.23386997877478863,0.14110605200862839
temporalcnn,Mean Power Ratio SNR,mean_broadband_power_snr,41,0.09599303135888504,0.5504885189177386,0.10262456965484557,0.5231576973027621
temporalcnn,Mean Low-Freq Power SNR,mean_lowfreq_power_snr,41,0.0667247386759582,0.6785105150714894,0.07169070741877463,0.6560145932622341
temporalcnn,Mean Induced Power SNR,mean_broadband_induced_snr,41,0.024216027874564464,0.880539831221737,0.0296348686761082,0.8540701309361565
temporalcnn,Max Habituation Index,max_habituation_index,41,-0.01132404181184669,0.943979515456004,-0.055900077920191804,0.7284880211089295
ALL (pooled),Max Broadband SNR (ERP),max_broadband_snr,246,0.4777121608833084,1.9852948462471018e-15,0.3721461921857326,1.6916401914606192e-09
ALL (pooled),Max Tonotopic Tuning,max_tuning_metric,246,0.4797827968256847,1.4445272273168103e-15,0.33219515870959093,9.499550735313362e-08
ALL (pooled),Mean Power Ratio SNR,mean_broadband_power_snr,246,0.11596045070751367,0.06942637491679036,0.1363416400118132,0.032554499877690046
ALL (pooled),Mean Low-Freq Power SNR,mean_lowfreq_power_snr,246,0.10394785948106465,0.10385105643389833,0.11189940904888389,0.07983573237413726
ALL (pooled),Mean Induced Power SNR,mean_broadband_induced_snr,246,-0.1066280751634862,0.09518904702516452,0.0008928223698228094,0.9888841903222337
ALL (pooled),Max Habituation Index,max_habituation_index,246,0.11902770114551957,0.062321708005863306,0.00611516493787739,0.9239772580136945
